"Campaign","Ad group","Keyword","Match Type","Status"
"אבי ורדי — חיפוש","הסעות לעובדים וכללי","כמה עולה להשכיר אוטובוס ליום","Exact","Enabled"
"אבי ורדי — חיפוש","הסעות לעובדים וכללי","כמה עולה לשכור אוטובוס ליום","Exact","Enabled"
"אבי ורדי — חיפוש","הסעות לעובדים וכללי","אוטובוס ליום שלם מחיר","Exact","Enabled"
"אבי ורדי — חיפוש","נתב״ג","שירותי הסעות","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","חברות הסעה","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות מיניבוסים","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות לאירועים מחירים","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הזמנת מיניבוס","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","מיניבוס מפואר","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","מיניבוס מחיר","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות לעובדים","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות פרטיות","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות לירושלים","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","חברת הסעות בראשון לציון","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות בצפון","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","מחיר מיניבוס","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות vip","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","חברת הסעות בצפון","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","מיניבוס vip","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","חברת הסעות בדרום","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות מירושלים","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","מיניבוס ירושלים","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות למסיבות","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות תל אביב","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הזמנת הסעה","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","מחיר הסעה לחתונה","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות יוקרה","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","הסעות ירושלים","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","חברת הסעות תל אביב","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","נהג הסעות","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","מיניבוס הסעה","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","נהג הסעות פרטי","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","שירות הסעות פרטי","Broad","Paused"
"אבי ורדי — חיפוש","נתב״ג","חיפוש עבודה נהג אוטובוס","Broad","Paused"
