"Campaign","Keyword","Match Type"
"אבי ורדי — חיפוש","דרייבר","Campaign Negative Broad"
"אבי ורדי — חיפוש","נהג פרטי","Campaign Negative Phrase"
"אבי ורדי — חיפוש","אור בוס","Campaign Negative Phrase"
"אבי ורדי — חיפוש","אורבוס","Campaign Negative Phrase"
"אבי ורדי — חיפוש","אור ירושלים","Campaign Negative Phrase"
"אבי ורדי — חיפוש","חבצלת","Campaign Negative Broad"
"אבי ורדי — חיפוש","בון תור","Campaign Negative Phrase"
"אבי ורדי — חיפוש","ברזני","Campaign Negative Broad"
"אבי ורדי — חיפוש","הורן","Campaign Negative Broad"
"אבי ורדי — חיפוש","ליאם","Campaign Negative Broad"
"אבי ורדי — חיפוש","מטיילי","Campaign Negative Broad"
"אבי ורדי — חיפוש","מיה טורס","Campaign Negative Phrase"
"אבי ורדי — חיפוש","שעיבי","Campaign Negative Broad"
"אבי ורדי — חיפוש","מסיעי","Campaign Negative Broad"
"אבי ורדי — חיפוש","רבני","Campaign Negative Broad"
"אבי ורדי — חיפוש","רם שן","Campaign Negative Phrase"
"אבי ורדי — חיפוש","נכים","Campaign Negative Broad"
"אבי ורדי — חיפוש","כסא גלגלים","Campaign Negative Phrase"
"אבי ורדי — חיפוש","מעלון","Campaign Negative Broad"
"אבי ורדי — חיפוש","בני ברק","Campaign Negative Phrase"
"אבי ורדי — חיפוש","אילת","Campaign Negative Broad"
"אבי ורדי — חיפוש","אשדוד","Campaign Negative Broad"
"אבי ורדי — חיפוש","קורס","Campaign Negative Broad"
"אבי ורדי — חיפוש","רישיון","Campaign Negative Broad"
"אבי ורדי — חיפוש","מכרז","Campaign Negative Broad"
"אבי ורדי — חיפוש","צעצוע","Campaign Negative Broad"
"אבי ורדי — חיפוש","מיניבוס","Campaign Negative Broad"
"אבי ורדי — חיפוש","מיניבוסים","Campaign Negative Broad"
"אבי ורדי — חיפוש","ראשון לציון","Campaign Negative Phrase"
"אבי ורדי — חיפוש","תל אביב","Campaign Negative Phrase"
"אבי ורדי — חיפוש","צפון","Campaign Negative Broad"
"אבי ורדי — חיפוש","אגד","Campaign Negative Broad"
"אבי ורדי — חיפוש","רכבת","Campaign Negative Broad"
"אבי ורדי — חיפוש","תחבורה ציבורית","Campaign Negative Phrase"
"אבי ורדי — חיפוש","קווים","Campaign Negative Broad"
"אבי ורדי — חיפוש","לוח זמנים","Campaign Negative Phrase"
"אבי ורדי — חיפוש","תחנה מרכזית","Campaign Negative Phrase"
"אבי ורדי — חיפוש","רב קו","Campaign Negative Phrase"
"אבי ורדי — חיפוש","עבודה","Campaign Negative Broad"
