"Campaign","Keyword","Match Type"
"אבי ורדי — חיפוש","אוטובוס זעיר","Campaign Negative Phrase"
"אבי ורדי — חיפוש","אוטובוס קטן","Campaign Negative Phrase"
"אבי ורדי — חיפוש","אוטובוס ציבורי","Campaign Negative Phrase"
"אבי ורדי — חיפוש","תחנת אוטובוס","Campaign Negative Phrase"
"אבי ורדי — חיפוש","קו אוטובוס","Campaign Negative Phrase"
"אבי ורדי — חיפוש","אוטובוס משומש","Campaign Negative Phrase"
"אבי ורדי — חיפוש","מיני בוס","Campaign Negative Phrase"
"אבי ורדי — חיפוש","ואן","Campaign Negative Broad"
"אבי ורדי — חיפוש","וואן","Campaign Negative Broad"
"אבי ורדי — חיפוש","מיניוואן","Campaign Negative Broad"
"אבי ורדי — חיפוש","טרמפ","Campaign Negative Broad"
"אבי ורדי — חיפוש","טרמפים","Campaign Negative Broad"
"אבי ורדי — חיפוש","שאטל","Campaign Negative Broad"
"אבי ורדי — חיפוש","לימוזינה","Campaign Negative Broad"
"אבי ורדי — חיפוש","טיולית","Campaign Negative Broad"
"אבי ורדי — חיפוש","טיוליות","Campaign Negative Broad"
"אבי ורדי — חיפוש","רכב","Campaign Negative Broad"
"אבי ורדי — חיפוש","יד שנייה","Campaign Negative Broad"
"אבי ורדי — חיפוש","הסעה","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעה זולה","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות זולות","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות זולות בירושלים","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעה לירושלים","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות בירושלים","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות בירושלים מחירים","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות באזור ירושלים","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות לנתבג","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות לנתבג מירושלים","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעה לנתבג","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעה לשדה התעופה","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות לשדה התעופה","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות לשדה תעופה","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעה לשדה התעופה מירושלים","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעה לשדה התעופה בן גוריון","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות לאירועים","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות לחתונה","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות ברמת הגולן","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות רמת הגולן","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות לים המלח מירושלים","Campaign Negative Exact"
"אבי ורדי — חיפוש","הסעות מודיעין עילית","Campaign Negative Exact"
"אבי ורדי — חיפוש","שירותי הסעות","Campaign Negative Exact"
"אבי ורדי — חיפוש","חברת הסעות","Campaign Negative Exact"
"אבי ורדי — חיפוש","חברת הסעות בירושלים","Campaign Negative Exact"
"אבי ורדי — חיפוש","חברת הסעות ירושלים","Campaign Negative Exact"
"אבי ורדי — חיפוש","חברות הסעות","Campaign Negative Exact"
"אבי ורדי — חיפוש","חברות הסעות בירושלים","Campaign Negative Exact"
"אבי ורדי — חיפוש","חברות הסעות בירושלים והסביבה","Campaign Negative Exact"
"אבי ורדי — חיפוש","קו מירושלים לנתבג","Campaign Negative Exact"
"אבי ורדי — חיפוש","קווי לילה לנתבג","Campaign Negative Exact"
"אבי ורדי — חיפוש","takana merkazit","Campaign Negative Exact"
